"Product Code","Product Name",Variant,Expected,Counted
E001,"PAMECTIN 18EC 250ML ប៉ាមិកទីន",,-1.0000,
E002,"ANOVA 480ml/40 អាណូវា",,5.0000,
E003,"KAFARIN 480ml/40 កាហ្វារីន",,403.0000,
E004,"KABU100G/100 កាបុយ",,4.0000,
E005,"CYRUX  1L VN/10 សីរុក",,22.0000,
E006,"Losmise 250ml/40 ឡុកម៉ាយ",,369.0000,
E007,"Karate 250ml/ 40  ការាត់ទេ",,226.0000,
E008,"U-T80 500ml/40 អ៊ុយតេ ៨០",,178.0000,
E009,"U-T90 480ml/20",,98.0000,
E010,"U-T 99 500ml/20",,0.0000,
E011,"INTECT 500ml/24  អិនទិក",,101.0000,
E012,"Methomyl 500g/20 កញ្ចប់ ម្សៅត្រី",,20.0000,
E013,"Hopson 500ml/24 ហប់សាន់",,395.0000,
E014,"Alfathrin 1l/20 អាល់ហ្វារីន",,221.0000,
E015,"Ascend​100g/100 អាសិន",,618.0000,
E016,"Abamectin 1L/12 ត្រីខាប់",,187.0000,
E017,"Spider 25ml/... ពីងពាង",,25.0000,
E018,"Parinho 007 500ml/20",,0.0000,
E019,"Maxfos 500ml/… ម៉ាហ្វូស",,0.0000,
E020,"Pasultap100g/100 ប៉ាសុលតាប់",,0.0000,
E021,"Methomyl Thai 1kg/12 ម្សៅត្រីថៃ J-Group",,9.0000,
E022,"Parida 480ml/40 ប៉ារីដា",,68.0000,
E023,"Frog 100ml/100 កង្កែប",,176.0000,
E024,"S72 250ml/40  អេស៧២",,231.0000,
E025,"Axe 100ml/100 ពូថៅ​",,220.0000,
E026,"S72 10g/400 អេស72កញ្ចប់",,-4.0000,
E027,"Panil 1kg/ 20 ប៉ានីល",,5.0000,
E029,"CYPERAN 450ml/40 ..  ស៊ីភើរ៉ង់",,97.0000,
E030,"12:00 1Kg/12 កំប៉ុងម្សៅត្រី​12:00",,82.0000,
E032,"IN 36 480ml/30 អ៊ីន៣៦",,588.0000,
E033,"999 480ml/40",,297.0000,
E034,"999 100ml/100",,260.0000,
E035,"Vasomix Bl1/20 វាសូមិច",,0.0000,
E036,"Mamectin 480ml / ម៉ាមិចទីន",,0.0000,
E037,"Dovil 1L/20 ដូវីល",,0.0000,
E039,"CYRUX  1L  KH /10",,0.0000,
E040,"J Nock 350 /12 Thai ជេ ណុក ថៃ",,73.0000,
E041,"Jiathi/100 ចាធី",,487.0000,
E042,Kankun/20,,72.0000,
E043,"ATYLO 100g /100  អាទីឡូ",,53.0000,
E044,"Mopride 8g/1000",,933.0000,
E045,"Pyridaben thai 1kg /25 ពែរីដាបីន ថៃ",,0.0000,
E046,"Henry 500g/20 ម្សៅត្រីហែនរី",,0.0000,
E047,"Refigen 500ml / រីហ្វីជែន",,0.0000,
E048,"Hercule 20g",,0.0000,
E049,"Galic Oil 100g ប្រេងខ្ទឹម",,0.0000,
E050,MIDAN,,0.0000,
E055,"Rong Beang / រុងបៀង",,0.0000,
E056,"Agri plus 1kg /",,0.0000,
E057,"Apertil Goal",,0.0000,
E058,Dopazol,,0.0000,
E059,"C-O Plus សីុអូ ផ្លាស",,0.0000,
E47,"VIKOTA  480ml-20  /វីកូតា",,0.0000,
F001,"A80 Kg/20",,8.0000,
F002,"Amistar Top 250/20 អាមីស្តា​ថប់",,0.0000,
F003,"Amistar 100/50 អាមីស្តា",,237.0000,
F004,"Antracol Kg /12 អាំងត្រាកុល",,496.0000,
F005,"Anvil L/12 អានវីល",,27.0000,
F006,"ARIN L/20 អារីន",,161.0000,
F007,"Cabenzim L/20កាបិនស៊ីម",,5.0000,
F008,"Dithane kg/10 ឌីតាន",,207.0000,
F009,"Dr.Green500g/20 ដុកទ័រគ្រីន",,25.0000,
F010,"HoTiSco 250/40 ហូទីស្កូ",,28.0000,
F011,"Kacop 100/100 កាខុប",,48.0000,
F012,Kacop/500កាខុប,,0.0000,
F013,"Kalaxy100g/100 កាឡាក់ស៊ី",,235.0000,
F014,"Kalaxy500g/20 កាឡាក់ស៊ី",,16.0000,
F015,"Kalonil 100g/100 កាឡូនីល",,-48.0000,
F016,"Kalonil 500g/20 កាឡូនីល",,0.0000,
F017,"Kamanta 100g/100 កាមង់តា",,0.0000,
F018,"Kamanta 500g/Pack-30 កាម៉ង់តា​500ក្រាម",,124.0000,
F019,"Kanazol 480ml/40 កាណាសូល",,278.0000,
F020,"Mangold 100g/100 ម៉ែងហ្គូល",,0.0000,
F021,"Mapgreen 250ml/40 ម៉ាបគ្រីន",,144.0000,
F022,"Mapsuper 250ml/40 ម៉ាបស៊ុបពែរ",,2.0000,
F023,"Ridomil 100g/100 រីដូមីល",,0.0000,
F024,"Ridomil 1kg/ រីដូមីល",,40.0000,
F025,"Score 50ml/100 ស្ករ",,256.0000,
F026,"Stop Stop 500ml/20 ស្តុប​ ស្តុប",,40.0000,
F0260,"Stop Stop 250ml/20 ស្តុប​ ស្តុបតូច",,87.0000,
F027,"Supersheild 500g/30 ស៊ុពែសៀល",,26.0000,
F028,"Tiltsuper250ml/40 ទីនមូល",,96.0000,
F029,"Tilt USA 250ml /40 ទីនជ្រុង",,297.0000,
F030,"Topmystar250ml/40 ថប់មីស្តា",,180.0000,
F031,"Tungvil1L/ តុងវីល",,0.0000,
F032,"Dithanthai1kg/12 ឌីថានថៃ",,-12.0000,
F033,"Samystar 250/40 សាមីស្តារ",,156.0000,
F034,"Mame/ ម៉ាមេ/pack",,0.0000,
F035,"A80 Thai អា៨០ថែ",,83.0000,
F036,"Confidor- 20ml",,0.0000,
F037,"15-30-15 /1Bag=40",,0.0000,
F039,"Carell 5mg",,5.0000,
F042,"20-20- moon/ 25kg ជីព្រះច័ន្ទ",,5.0000,
F043,"AntracolThai Kg /16 lada អាំងត្រាកុលថៃ",,124.0000,
F044,"CabenzimThai L/12កាបិនស៊ីមថៃ",,57.0000,
F045,Patry/100,,93.0000,
F046,"Prochloraz 1l Th/20",,112.0000,
F047,"Cadillac 1 Kg /10 កាឌីឡាក់",,0.0000,
F048,"ខៀវល្អ ៥០០មល / 20",,0.0000,
F049,"Tiltsuper 400 New 250ml/40 ទីនមូល 400 ថ្មី",,33.0000,
F050,"Prochloraz new Th 1l /20 ប្រូក្លរ៉ាស ថ្មី",,13.0000,
F051,"Prochloraz Th 100ml /20 ប្រូក្លរ៉ាស តូច",,0.0000,
F058,"PANTA66.6WF 100g /  ប៉ង់តា 100 ក",,-29.0000,
F059,"Jiacure 250ml 40  /   ចៃកឺ Tebuconazol",,0.0000,
G001,"168 100ml/100",,2526.0000,
G002,"Multi-K 25kg កាណូបា ២៥គ",,30.0000,
G003,"Bortrac1L/12 បូត្រាក",,194.0000,
G004,"Fulva1L/20 ហ្វុលវ៉ា",,2.0000,
G005,AMINO250ML/48អាមីណូ,,124.0000,
G006,"AMINO 500ml/24 អាមីណូ​",,46.0000,
G007,"Bor 500ml/24 ប័រ",,0.0000,
G008,"HK7-5-441kg/20 ហាសកា",,194.0000,
G009,"VINA 100ml វីណា",,0.0000,
G010,"Multi-k 2kg/12 កាណូបា ២គ",,672.0000,
G0102,"Bidamin pack 1kg/ 20ក បីដាមីនខ្មែកញ្ចប់",,0.0000,
G012,"Fisher 500ml/24 ហ្វីសឺ",,5.0000,
G013,"Arrow469 1L/20 ប្រឆាំងជ្រុះក្តឹបកវែង",,0.0000,
G014,"Calimag 250ml48 កាលីម៉ាក់",,-49.0000,
G015,"Calimag 480ml/24 កាលីម៉ាក់480 មល",,65.0000,
G016,"TP108 1L/20 តេប៉េ១០៨",,0.0000,
G017," Sero 101 500ml/20  សេរូ 101 500ml",,30.0000,
G018,"Thom9 100ml/100 ធំធំ៩",,337.0000,
G019,"33-11 1kg/20  VSC33-111kg Angkor",,270.0000,
G020,"Humate5L/4 ហូម៉ាត​៥ល",,0.0000,
G021,"Flower 95 100ml/100 ផ្លាវឺ៩៥",,0.0000,
G022,"Super 21 100g/25 សុបពឺ២១",,60.0000,
G023,"Arrow936 1L/20 កាន់ក្តឹបគំរបក្រហម",,65.0000,
G024,"CalHaifa 1Kg កាលស្យូម",,2.0000,
G025,"Super 21 1kg/30 សុបពឺ២១​",,812.0000,
G026,"super Bo/20",,0.0000,
G027,"Data Micro ដែលតាមីក្រូ",,0.0000,
G028,"10-60-10 VSC 1Kg/20 អង្គរ",,41.0000,
G029,"Phos-K 1L/12 ហ្វូសកា",,0.0000,
G030,"3in1 1L/20 3ក្នុង1",,512.0000,
G031,"Boron1L/12 ប័ររុន",,171.0000,
G033,"20-30 1Kg/18 KM កែវមន្នី",,0.0000,
G034,"S-52-34  1Kg/25 pack",,433.0000,
G035,"Gibbon​100ml/56 ជីបបុន",,302.0000,
G036,"Deper 500ml/24 ដេបពើ",,22.0000,
G037,"0-52 1kg/20 Koe Mony",,29.0000,
G038,"20-30- 20- 1kg/20 Angkor",,77.0000,
G039,"3in 1 1L/20 new 3ក្នុង1ថ្មី",,54.0000,
G040,"Gibber T 5g/1000 គ្រាប់ពង្រីក",,3016.0000,
G041,"Cobioroot 250ML/48 សូលុយរូត",,0.0000,
G042,"KOK1/20 កុក1",,34.0000,
G043,"KOK1+/20 កុក1+",,236.0000,
G044,"KOK 12 /-600g/Can-20/case កុក 12",,99.0000,
G045,"KOK 12 Solustart 5kg/4 កុក 12  5kg",,0.0000,
G046,"Kok 18-18-18 5kg/4 កុក 18-18-18",,62.4000,
G047,"KOK2 1Kg/20 កុក2",,-1.0000,
G048,"KOK3/20 កុក3",,11.0000,
G049,"DOLA 1Kg/24 ដុល្លា",,1134.0000,
G050," old 119 Rihno 1Kg/10",,0.0000,
G051,"Bon 1Kg/20 បុង",,800.0000,
G052,"Bidamin KH 1kg បីដាមីនខ្មែ",,100.0000,
G053,"Atonik 100g/100 អាតូនីក",,616.0000,
G054,"119 Rhino -1kg/10",,-3.0000,
G055,"18-18-21 1Kg/30 AHA",,295.0000,
G057,"THIO 99 1kg /18 ថៃអូ99",,242.0000,
G058,"Fofer 1kg/20 ហ្វូសហ្វឺ​",,15.0000,
G059,"KOK PK500 500ml/24ប៉េកា៥០០",,170.0000,
G060,"KOK PK500 250ml/48 ប៉េកា៥០០​​",,97.0000,
G061,"Dola B-25kg ដូលា​ បាវ​-25គីឡូ",,0.0000,
G062,"AHA Pachlor 20% -1kg/25អ័កម៉ូនអាហា",,275.0000,
G063,"Palomix 1kg/20 ប៉ាឡូមីច​​",,178.0000,
G064,"Palomix 1L /20ប៉ាឡូមីច​ទឹក",,-68.0000,
G065,"KOK 2 5kg/4",,0.0000,
G066,"Arrow 1L/20 កាន់ផ្លែ​​ ថ្មី",,0.0000,
G067,"Pachlor 25kg/ អ័កម៉ូនចិន",,0.0000,
G068,"Paccocontact 10wp  1kg /18  ភែកូ ខនធែក ១០",,0.0000,
G069,"Pachlor Thai 1k  (25kg-B)/ ត្រីគូរ ថៃ",,54.0000,
G070,"Humix 1kg / ហុយមិច",,18.0000,
G071,"Bidamin 1kg VN បីដាមីន វៀតណាម",,4.0000,
G072,"bright star 1L /12",,-68.0000,
G073,"Daconil  250",,0.0000,
G074,"Green Grow 1L/12 គ្រីនក្រូ",,0.0000,
G078,"10-60-10 BSC 1Kg/18 វិមានងករាជ្យ",,261.0000,
G079,"Cobioroot 480ML/ កូបាយរូត ២៤ សូលុយរូត",,0.0000,
G081,UV1Kg/40,,0.0000,
G082,"0-52 1kg/20VSC អង្គរ",,112.0000,
G083,"PAMINO 250ML ប៉ាមីណូ",,-5.0000,
G084,"Thiurea thai 1Kg/25 ធីអូរេថៃ",,0.0000,
G085,"4in1 1L/20 4ក្នុង1",,0.0000,
G086,"Mat 50ml /មាត",,0.0000,
G087,"Magnum 44. 50ml Thai/ 12 សែបួន 44 ថៃ",,0.0000,
G088,"Atonik ៥០ml/100 អាតូនីចទឹក",,-13.0000,
G089,"B-ONE  500ml / 20 ប៊ីវ័ន",,0.0000,
G090,"P-ONE  500ml / 20 ភីវ័ន",,0.0000,
G091,"Robin  200g / 30 រ៉ូប៊ីន",,0.0000,
G092,"0-52 1kg/20 Haifa",,0.0000,
G093,"Mark / 24ដប ម៉ាក",,0.0000,
G094,"Media 500ml /20  មេដៀ",,0.0000,
G096,"Oslam 500ml / 24 អូស្លែម",,0.0000,
G097,"20-30-20 Plant Food 500ml  ផ្លែនហ្វត",,0.0000,
G098,"Starwia 1l / ស្តាវៃ",,0.0000,
G099,"Yara 15-0-0",,0.0000,
G100,"Fast Grow 100ml / ហ្វាសក្រូ",,0.0000,
G101,"Cal Bo 1l / កាល់បូ  Lada",,0.0000,
G102,"D tonik 100g/100 ឌីតូនីក",,0.0000,
H001,"Kaphosat 5L ទន្សាយ",,67.0000,
H002,"Kaphosat 1L/20 ទន្សាយ ១ល",,108.0000,
H003,"Newsate 5L/4 ក្បាលតោ",,47.0000,
H004,"Liphosim 5L/4 លីផូសីម",,133.0000,
H005,"King Kon 5L/4 គីងកុង",,47.0000,
H006,"Dream 5L/4 ឌ្រីម",,0.0000,
H007,"Sanaphen 450ml/40  សាណាហ្វែន-អាលដូ",,169.0000,
H008,"Yiko ថ្នាំកក់​(យីគូ)",,0.0000,
H009,"Dog sit 500g/60 ឆ្កែអង្កុយ",,0.0000,
H010,"Pyanchor 400mL / ពីអានឆរ",,31.0000,
H014,"Kuyromeas 25g/400 កុយរមាស",,175.0000,
H017,"Misin 500g មីស៊ីន(ថ្នាំស្មៅពោត)",,20.0000,
H018,"Heny Henjon1L/5 ថ្នាំស្មៅដំឡូងខេមហេរ៉ូ",,12.0000,
H019,"King Kong 20L គីងកុង",,0.0000,
H020,"ថ្នាំស្មៅថៃ Miko - 5L/4",,-15.0000,
H021,"CYHANY 100ml /100 ថ្នាំស្មៅសុីហានី",,69.0000,
H022,"PACO2 1L /24100 ប៉ាគោ២",,-3.0000,
K001,"15-15-15 Thai",,0.0000,
K002,"20-20-15 ក្របី",,18.8600,
K003,"AHA Organic 50.kg ជីធម្មជាតិ",,0.9600,
K004,"Phosphate50kg ជីផូស្វាត",,0.0000,
K005,"KOK 17-7-17",,44.0100,
K006,"KOK 20 -10 -15កុកកៅស៊ូ",,0.0000,
K007,"KOK 25-15-5 កុក 50kg",,15.6500,
K008,"DAP 50kg ដេ អា ប៉េ",,0.0000,
K009,"N-Protect 40kg អ៊ុយរ៉េកុក40kg",,4.9500,
K010,"Urea អ៊ុយរ៉េ ក្បាលគោ",,18.9400,
K011,"15-15-15 ក្របី",,2.0000,
K012,"Urea thai 50kg អ៊ុយរ៉េថៃ IPC",,9.7200,
K013,"15-15-15 50kg ត្រាក្បាលគោ",,0.0000,
M001,"Sprayer 40cm ដងបាញ់​​40cm",,-1.0000,
M002,"Sprayer 60cm ដងបាញ់​60cm",,-2.0000,
M003,"Sprayer 9T ដងបាញ់​​ 9T",,13.0000,
M005,"Sprayer 120cm ដងបាញ់​​ 120cm",,12.0000,
M006,"Spray Hose 95m ទុយោបាញ់ថ្នាំ",,1.0000,
M007,"Spray Hose 50m ទុយោបាញ់ថ្នាំ",,0.0000,
M008,"Spray Bin ធុងបាញ់ថ្នាំ16លីត្រ",,-1.0000,
M009,"Spray Bin1 ធុងបាញ់ថ្នាំ20លីត្រ",,9.0000,
M010,"Foot Rubber ស្បែកជើងកវែង",,11.0000,
M015,"Sprayer whale/ ដង​បា​ញ់​ត្រីបាលែន",,19.0000,
M025,"Sprayer 1.5cm ដងបាញ់​​ 1.5cm",,0.0000,
M026,"Sprayer 1m ដងបាញ់​​ 1m",,0.0000,
M24,"Sprayer10$ ដងបាញ់​ល្អឥខៀវ 90cm",,0.0000,
O2,"As-50 500ml….. ថ្នាំស្អិត",,2.0000,
S001,"Corn ADI 600500g ពោត​ ADI 600",,0.0000,
S002,"CORN TN199/... ពោត",,30.0000,
S006,"Cucumber TN123 ត្រសក់​",,24.0000,
S007,"Cucumber TN456 ត្រសក់​",,33.0000,
S008,"Cucumber TN789 ត្រសក់​",,0.0000,
S009,"Egg plantTN 121 ត្រប់ស្រួយ",,0.0000,
S010,"Egg plant TN 78A 1g ត្រប់វែង",,-11.0000,
S011,"Egg Plant TN 78A 5g ត្រប់វែង",,27.0000,
S014,"Choisum 100g ស្ពៃចង្កឹះ",,3.0000,
S018,"Eggplant TN114 5g ត្រប់ស្រួយ",,0.0000,
S022,"Water Convolvulus 500g ត្រកួន500g",,0.0000,
S031,"Spong Quard TN 259- 5g",,0.0000,
S032,"W.melon / ឪឡឹក រូបឃ្លោក៊កណ្តាល",,-1.0000,
S033,"W.melon​តូច / ឪឡឹក រូបឃ្លោក",,-2.0000,
S034,"Cucumber  ត្រសក់​",,-2.0000,
S035,"Wax Ground ត្រឡាច​ NT9-20g/pack",,34.0000,
S036,"Chinese Cabbage- 20g ស្ពៃក្រញាញ់",,0.0000,
S037,"Chinese Kale TN28 100g ខាត់ណាដើម",,0.0000,
S038,"Chinese Kale TN28 200g ខាត់ណាដើម",,0.0000,
S039,"Chinese Mustard 100g - ស្ពៃខៀវ",,0.0000,
S040,"Choisum 100 /ស្ពៃចង្កឹះ",,-1.0000,
S041,"ឆៃថាវ​ ​រូប​ឃ្លោក​  ធំ​",,25.0000,
S042,"Eggplant 177 ត្រប់វែង ១៧៧",,0.0000,
S043,"ននោងជ្រុង Angleo Grourd Tn308- 10g",,24.0000,
S044,"Wax Ground ត្រឡាច​ NT9-50g/pack",,2.0000,
S047,"ននោងមូល Angleo Grourd - 10g",,-2.0000,
S048,"Mansion 120/ មេនសុិន  - 100g",,0.0000,
S050,"ត្រឡាច​  ថៃ Waxgaurd Thai 15mg",,2.0000,
S100,"Papaya Thai 2g ល្ហុងថៃ​2g",,3.0000,
S102,"Pumkin TN305 20g ល្ពៅ​TN 305",,-4.0000,
S103,"ត្រឡាច​ N61",,-5.0000,
Z001,"ឈុតថៃទ្រីតិច ៣ មុខ/",,22.0000,
